Station name,Line,Opened,Station layout,Platform layout,Notes,Refs
Adarsh Nagar,Yellow Line,4 February 2009,Elevated,Side,-,
AIIMS,Yellow Line,3 September 2010,Underground,Island,-,
Akshardham,Blue Line,12 November 2009,Elevated,Side,-,
Anand Vihar,Blue Line,6 January 2010,Elevated,Side,"Transfer station for Anand Vihar Railway Terminal (Indian Railways), Anand Vihar ISBT and Anand Vihar RRTS station",
Anand Vihar,Pink Line,31 October 2018,Elevated,Side,"Transfer station for Anand Vihar Railway Terminal (Indian Railways), Anand Vihar ISBT and Anand Vihar RRTS station",
Arjan Garh,Yellow Line,21 June 2010,Elevated,Side,-,
Arthala,Red Line,8 March 2019,Elevated,Side,-,
Ashok Park Main,Green Line,2 April 2010,Elevated,Side,Transfer for Branch Line,
Ashram,Pink Line,31 December 2018,Underground,Island,-,
Azadpur,Yellow Line,4 February 2009,Elevated,Side,-,
Azadpur,Pink Line,14 March 2018,Underground,Island,-,
Badarpur Border,Violet Line,14 January 2011,Elevated,Side,Formerly known as Badarpur,
Badkhal Mor,Violet Line,6 September 2015,Elevated,Side,-,
Bahadurgarh City,Green Line,24 June 2018,Elevated,Side,Formerly known as Bus Stand,
Barakhamba Road††,Blue Line,30 December 2005,Underground,Side,Transfer station for Shivaji Bridge Railway Station,
Bata Chowk,Violet Line,6 September 2015,Elevated,Side,-,
Bhajanpura,Pink Line,8 March 2026,Elevated,Side,-,
Bhalaswa,Magenta Line,8 March 2026,Elevated,Side,-,
Bhikaji Cama Place,Pink Line,6 August 2018,Underground,Island,-,
Botanical Garden†,Blue Line,12 November 2009,Elevated,Side,-,
Botanical Garden†,Magenta Line,25 December 2017,Elevated,Side,-,
Brigadier Hoshiyar Singh†,Green Line,24 June 2018,Elevated,Side,Formerly known as City Park,
Burari,Pink Line,8 March 2026,Elevated,Side,-,
Central Secretariat,Yellow Line,3 July 2005,Underground,Side,-,
Central Secretariat,Violet Line,3 October 2010,Underground,Side,-,
Chandni Chowk††,Yellow Line,3 July 2005,Underground,Island,Formerly known as Delhi Main. Transfer station for Delhi Junction Railway station.,
Chawri Bazar,Yellow Line,3 July 2005,Underground,Island,Second Deepest Metro Station of Delhi,
Chhatarpur,Yellow Line,26 August 2010,Elevated,Side,-,
Chirag Delhi,Magenta Line,29 May 2018,Underground,Island,-,
Civil Lines,Yellow Line,20 December 2004,Underground,Side,-,
Dabri Mor - Janakpuri South,Magenta Line,29 May 2018,Underground,Island,Formerly known as Dabri Mor,
Dashrathpuri,Magenta Line,29 May 2018,Underground,Island,-,
Deepali Chowk,Magenta Line,8 March 2026,Elevated,Side,-,
Delhi Aerocity,Airport Express,15 August 2011,Underground,Side,Also known as National Highway 8,
Delhi Cantonment,Pink Line,14 March 2018,Elevated,Side,-,
Delhi Gate,Violet Line,28 May 2017,Underground,Island,-,
Dhansa Bus Stand†,Grey Line,18 September 2021,Underground,Side,-,
Dhaula Kuan,Airport Express,15 August 2011,Elevated,Side,Transfer Station to Pink Line,
Dilli Haat - INA,Yellow Line,3 September 2010,Underground,Island,Formerly known as INA,
Dilli Haat - INA,Pink Line,6 August 2018,Underground,Island,Formerly known as INA,
Dilshad Garden,Red Line,4 June 2008,Elevated,Side,-,
Durgabai Deshmukh South Campus,Pink Line,14 March 2018,Elevated,Side,For Delhi University South Campus,
Dwarka†,Blue Line,30 December 2005,Elevated,Side,-,
Dwarka†,Grey Line,4 October 2019,Elevated,Side,-,
Dwarka Mor,Blue Line,30 December 2005,Elevated,Side,Mostly popular for NSUT and road to airport,
Dwarka Sector 8,Blue Line,30 October 2010,Elevated,Side,-,
Dwarka Sector 9,Blue Line,1 April 2006,Elevated,Side,-,
Dwarka Sector 10,Blue Line,1 April 2006,Elevated,Side,-,
Dwarka Sector 11,Blue Line,1 April 2006,Elevated,Side,-,
Dwarka Sector 12,Blue Line,1 April 2006,Elevated,Side,-,
Dwarka Sector 13,Blue Line,1 April 2006,Elevated,Side,-,
Dwarka Sector 14,Blue Line,1 April 2006,Elevated,Side,-,
Dwarka Sector 21†,Blue Line,30 October 2010,Underground,Side,-,
Dwarka Sector 21†,Airport Express,23 February 2011,Underground,Side,-,
East Azad Nagar,Pink Line,31 October 2018,Elevated,Side,-,
East Vinod Nagar - Mayur Vihar-II,Pink Line,31 October 2018,Elevated,Side,Formerly known as East Vinod Nagar,
Escorts Mujesar,Violet Line,6 September 2015,Elevated,Side,Formerly known as YMCA Chowk,
ESI - Basaidarapur,Pink Line,14 March 2018,Elevated,Side,Formerly known as ESI Hospital,
Ghevra,Green Line,24 June 2018,Elevated,Side,-,
Ghitorni,Yellow Line,21 June 2010,Elevated,Side,-,
Gokulpuri,Pink Line,31 October 2018,Elevated,Side,-,
Golf Course,Blue Line,12 November 2009,Elevated,Side,-,
Govindpuri,Violet Line,3 October 2010,Elevated,Side,-,
Greater Kailash,Magenta Line,29 May 2018,Underground,Island,-,
Green Park,Yellow Line,3 September 2010,Underground,Island,-,
Guru Tegh Bahadur Nagar,Yellow Line,4 February 2009,Underground,Side,Formerly known as GTB Nagar,
Guru Dronacharya,Yellow Line,21 June 2010,Elevated,Side,Formerly known as Garden Estate,
Haiderpur Badli Mor,Yellow Line,10 November 2015,Elevated,Island,Formerly known as Badli Mor,
Haiderpur Badli Mor,Magenta Line,8 March 2026,Elevated,Island,Formerly known as Badli Mor,
Haiderpur Village,Magenta Line,8 March 2026,Elevated,Side,-,
Harkesh Nagar Okhla,Violet Line,3 October 2010,Elevated,Side,Formerly known as Okhla,
Hauz Khas,Yellow Line,3 September 2010,Underground,Island,Deepest Metro Station in Delhi,
Hauz Khas,Magenta Line,29 May 2018,Underground,Island,Deepest Metro Station in Delhi,
Hindon River,Red Line,8 March 2019,Elevated,Side,-,
IFFCO Chowk,Yellow Line,21 June 2010,Elevated,Side,-,
IIT,Magenta Line,29 May 2018,Underground,Island,For IIT Delhi,
Inderlok†,Red Line,3 October 2003,Elevated,Side,Formerly known as Trinagar,
Inderlok†,Green Line,2 April 2010,Elevated,Island,Formerly known as Trinagar,
Indira Gandhi International Airport,Airport Express,23 February 2011,Underground,Island,For Indira Gandhi International Airport's Terminal 2 & 3,
Indraprastha,Blue Line,11 November 2006,Elevated,Side,-,
IP Extension,Pink Line,31 October 2018,Elevated,Side,-,
ITO,Violet Line,8 June 2015,Underground,Island,-,
Jaffrabad,Pink Line,31 October 2018,Elevated,Side,-,
Jagatpur - Wazirabad,Pink Line,8 March 2026,Elevated,Side,-,
Jahangirpuri,Yellow Line,4 February 2009,Elevated,Side,-,
Jama Masjid,Violet Line,28 May 2017,Underground,Island,-,
Jamia Millia Islamia,Magenta Line,25 December 2017,Elevated,Side,-,
Janakpuri East,Blue Line,30 December 2005,Elevated,Side,-,
Janakpuri West,Blue Line,30 December 2005,Elevated,Side,Has India's Tallest Escalator connecting the concourse to Magenta Line,
Janakpuri West,Magenta Line,29 May 2018,Underground,Island,Has India's Tallest Escalator connecting the concourse to Magenta Line,
Jangpura,Violet Line,3 October 2010,Underground,Island,Formerly known as Lodi Colony,
Janpath,Violet Line,26 June 2014,Underground,Island,-,
Jasola Apollo,Violet Line,3 October 2010,Elevated,Side,Formerly known as Jasola,
Jasola Vihar Shaheen Bagh,Magenta Line,25 December 2017,Elevated,Side,-,
Jawaharlal Nehru Stadium,Violet Line,3 October 2010,Underground,Island,-,
Jhandewalan,Blue Line,30 December 2005,Elevated,Side,-,
Jharoda Majra,Pink Line,8 March 2026,Elevated,Side,-,
Jhilmil,Red Line,4 June 2008,Elevated,Side,-,
Johri Enclave,Pink Line,31 October 2018,Elevated,Side,-,
Jor Bagh,Yellow Line,3 September 2010,Underground,Island,-,
Kailash Colony,Violet Line,3 October 2010,Elevated,Side,-,
Kalindi Kunj,Magenta Line,25 December 2017,Elevated,Side,-,
Kalkaji Mandir,Violet Line,3 October 2010,Elevated,Side,-,
Kalkaji Mandir,Magenta Line,25 December 2017,Underground,Side,-,
Kanhaiya Nagar,Red Line,31 March 2004,Elevated,Side,-,
Karkarduma,Blue Line,6 January 2010,Elevated,Side,-,
Karkarduma,Pink Line,31 October 2018,Elevated,Side,-,
Karkarduma Court,Pink Line,31 October 2018,Elevated,Side,-,
Karol Bagh,Blue Line,30 December 2005,Elevated,Side,-,
Kashmere Gate†¤,Red Line,24 December 2002,Elevated,Side,"Transfer station for Kashmere Gate ISBT
India's only Metro Interchange with three lines.",
Kashmere Gate†¤,Yellow Line,20 December 2004,Underground,Island,"Transfer station for Kashmere Gate ISBT
India's only Metro Interchange with three lines.",
Kashmere Gate†¤,Violet Line,28 May 2017,Underground,Island,"Transfer station for Kashmere Gate ISBT
India's only Metro Interchange with three lines.",
Kaushambi,Blue Line,14 July 2011,Elevated,Side,-,
Keshav Puram,Red Line,31 March 2004,Elevated,Side,-,
Khajuri Khas,Pink Line,8 March 2026,Elevated,Side,-,
Khan Market,Violet Line,3 October 2010,Underground,Island,-,
Kirti Nagar†,Blue Line,30 December 2005,Elevated,Side,-,
Kirti Nagar†,Green Line,27 August 2011,At-grade,Side,-,
Krishna Nagar,Pink Line,31 October 2018,Elevated,Side,-,
Kohat Enclave,Red Line,31 March 2004,Elevated,Side,-,
Krishna Park Extension,Magenta Line,5 January 2025,Underground,Island,-,
Lajpat Nagar,Violet Line,3 October 2010,Elevated,Side,-,
Lajpat Nagar,Pink Line,6 August 2018,Underground,Island,-,
Lal Qila,Violet Line,28 May 2017,Underground,Island,Formerly known as Red Fort,
Laxmi Nagar,Blue Line,6 January 2010,Elevated,Side,-,
Lok Kalyan Marg,Yellow Line,3 September 2010,Underground,Island,Formerly known as Race Course,
Madipur,Green Line,2 April 2010,Elevated,Side,-,
Madhuban Chowk,Red Line,31 March 2004,Elevated,Side,Formerly known as Pitampura,
Madhuban Chowk,Magenta Line,8 March 2026,Elevated,Side,Formerly known as Pitampura,
Maharaja Surajmal Stadium,Green Line,2 April 2010,Elevated,Side,Formerly known as Surajmal Stadium,
Majlis Park†,Pink Line,14 March 2018,Elevated,Side,Formerly known as Mukundpur,
Majlis Park†,Magenta Line,8 March 2026,Elevated,Island,Formerly known as Mukundpur,
Major Mohit Sharma Rajendra Nagar,Red Line,8 March 2019,Elevated,Side,Formerly known as Rajendra Nagar,
Malviya Nagar,Yellow Line,3 September 2010,Underground,Island,-,
